식품코드,식품대분류,식품상세분류,1회제공량(g),에너지(㎉),수분(g),단백질(g),지방(g),탄수화물(g),총당류(g),자당(g),포도당(g),과당(g),유당(g),맥아당(g),총 식이섬유(g),칼슘(㎎),철(㎎),마그네슘(㎎),인(㎎),칼륨(㎎),나트륨(㎎),아연(㎎),구리(㎎),망간(㎎),셀레늄(㎍),레티놀(㎍),베타카로틴(㎍),비타민 D3(㎍),토코페롤(㎎),토코트리에놀(㎎),비타민 B1(㎎),비타민 B2(㎎),나이아신(㎎),엽산(DFE)(㎍),비타민 B12(㎍),비타민 C(㎎),총 아미노산(㎎),이소류신(㎎),류신(㎎),라이신(㎎),메티오닌(㎎),페닐알라닌(㎎),트레오닌(㎎),발린(㎎),히스티딘(㎎),아르기닌(㎎),티로신(㎎),시스테인(㎎),알라닌(㎎),아스파르트산(㎎),글루탐산(㎎),글리신(㎎),프롤린(㎎),세린(㎎),콜레스테롤(㎎),총 포화 지방산(g),부티르산(4:0)(g),카프로산(6:0)(g),카프릴산(8:0)(g),카프르산(10:0)(g),라우르산(12:0)(g),미리스트산(14:0)(g),팔미트산(16:0)(g),스테아르산(18:0)(g),아라키드산(20:0)(g),미리스톨레산(14:1)(g),팔미톨레산(16:1)(g),올레산(18:1(n-9))(g),박센산(18:1(n-7))(g),가돌레산(20:1)(g),리놀레산(18:2(n-6)c)(g),알파 리놀렌산(18:3(n-3))(g),감마 리놀렌산(18:3(n-6))(g),에이코사디에노산(20:2(n-6))(g),에이코사트리에노산(20:3(n-6))(g),아라키돈산(20:4(n-6))(g),에이코사펜타에노산(20:5(n-3))(g),도코사펜타에노산(22:5(n-3))(g),도코사헥사에노산(22:6(n-3))(g),트랜스 지방산(g),트랜스 올레산(18:1(n-9)t)(g),트랜스 리놀레산 (18:2t)(g),트랜스 리놀레산(18:3t)(g),회분(g),성분표출처,발행기관
D000006,구이류,육류구이,500.0,368.8,412.6,33.5,8.5,39.7,16.9,7.2,2.8,2.8,0.7,3.5,9.8,105.61,-,85.39,458.05,1243.12,1264.31,3.99,0.32,0.68,47.55,0.0,1424.58,-,8.73,0.06,0.0,0.33,3.61,63.13,0.0,2.99,-,1284.376,2328.599,2484.75,645.19,1274.927,1410.841,1367.688,848.539,2205.585,919.806,276.499,1642.381,2781.773,4784.606,1419.925,1092.295,1264.958,106.18,1.9,0.0,0.0,0.0,0.0,0.007,0.032,1.284,0.527,0.029,0.0,0.081,2.308,0.113,0.028,3.236,0.657,0.019,0.007,0.0,0.143,0.0,0.0,0.023,0.1,0.018,0.053,0.0,5.8,식약처('16) 제4권,식품의약품안전처
D000008,구이류,육류구이,300.0,558.47,195.4,45.5,31.6,23.1,8.5,0.6,3.2,3.2,0.0,1.5,6.6,63.06,-,77.07,421.66,818.11,1016.94,3.59,0.24,0.41,51.18,75.14,493.75,-,3.58,0.23,0.22,0.38,2.96,57.96,0.0,0.0,-,1573.218,3050.299,3210.69,970.59,1783.355,1873.143,1707.208,1133.533,2818.651,1287.48,291.024,2198.622,3872.999,6674.569,2274.24,1743.255,1763.982,217.67,11.3,0.0,0.0,0.0,0.011,0.066,0.35,8.662,2.14,0.036,0.106,2.225,13.861,0.767,0.142,5.434,0.391,0.056,0.05,0.052,0.163,0.011,0.022,0.016,0.3,0.14,0.078,0.032,4.5,식약처('16) 제4권,식품의약품안전처
D000009,구이류,육류구이,70.0,176.723,35.308,11.562,8.565,13.348,3.152,0.106,0.817,1.64,0.0,0.589,2.072,17.675,-,0.0,122.798,152.663,286.911,0.0,0.0,0.0,0.0,14.753,46.097,-,0.0,0.0,0.226,0.184,1.713,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.444,2.315,0.0,0.0,0.0,0.0,0.0,0.1,1.8,0.5,0.0,0.0,0.4,3.3,0.2,0.0,1.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,1.218,식약처('12) 제1권,식품의약품안전처
D000010,구이류,채소류구이,100.0,184.0,58.1,3.1,5.2,31.1,11.6,2.2,2.7,1.5,0.0,5.1,6.8,46.42,-,38.21,88.17,262.44,743.37,0.59,0.13,0.42,0.0,0.0,481.44,-,3.89,1.47,0.23,0.08,0.18,16.77,0.0,1.34,-,69.84,126.53,90.72,16.36,82.78,70.97,87.91,44.56,457.03,33.86,9.73,91.19,203.15,620.8,83.58,117.2,83.49,0.12,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,1.3,0.1,0.0,2.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,식약처('17) 제5권,식품의약품안전처
D000011,구이류,어패류구이,250.0,397.0,163.3,61.1,16.5,2.1,0.0,0.0,0.0,0.0,0.0,0.0,5.9,158.8,-,120.37,690.91,1108.02,1582.17,1.45,0.06,0.06,281.39,65.65,2.3,-,3.76,0.0,0.1,0.27,6.35,37.98,7.45,0.84,-,2139.19,4277.88,4920.98,1725.16,2222.94,2583.86,2388.48,1351.76,3926.03,1958.54,481.77,3337.83,5706.62,8361.83,3076.27,2060.24,2382.06,211.24,3.8,0.0,0.0,0.0,0.0,0.0,0.4,2.5,0.8,0.1,0.0,0.6,2.9,0.4,0.2,1.9,0.3,0.0,0.0,0.1,0.2,0.6,0.3,1.6,0.1,0.0,0.0,0.1,7.0,식약처('15) 제3권,식품의약품안전처
D000012,구이류,육류구이,100.0,240.32,56.3,19.5,14.4,8.1,4.5,2.5,0.6,0.6,0.0,0.9,0.3,47.21,-,20.74,156.16,280.71,404.66,2.75,0.07,0.1,41.24,3.07,1.89,-,0.61,0.03,0.31,0.14,0.17,5.37,0.0,0.0,-,777.85,1602.984,1661.041,494.141,839.224,899.553,958.746,568.597,1234.027,628.309,169.606,1267.679,1824.928,3436.636,1079.383,782.667,781.814,49.34,4.7,0.0,0.0,0.0,0.013,0.019,0.195,2.954,1.537,0.022,0.004,0.269,4.577,0.34,0.087,1.718,0.066,0.004,0.057,0.017,0.079,0.0,0.007,0.0,0.1,0.04,0.019,0.003,1.6,식약처('16) 제4권,식품의약품안전처
D000015,구이류,어패류구이,250.0,488.0,157.7,54.6,30.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7,80.44,-,118.57,627.82,984.65,1567.94,1.91,0.06,0.07,224.19,60.74,0.0,-,3.72,0.01,0.12,0.21,4.38,38.25,7.73,1.41,-,2073.86,3990.88,4545.39,1585.12,1997.02,2355.61,2244.34,1171.23,3439.47,1850.54,373.21,2994.99,5186.07,7875.28,2683.86,1881.09,2237.35,198.51,8.9,0.0,0.0,0.0,0.0,0.0,1.1,6.1,1.6,0.1,0.0,1.2,6.8,0.6,0.6,2.0,0.3,0.1,0.1,0.3,0.3,1.3,0.8,3.3,0.2,0.1,0.1,0.1,6.7,식약처('15) 제3권,식품의약품안전처
D000016,구이류,육류구이,150.0,395.29,80.1,34.4,25.2,7.8,7.9,7.3,0.3,0.3,0.0,0.0,1.2,12.31,-,36.22,300.71,580.55,560.71,9.74,2.06,0.1,49.08,6.51,22.59,-,2.7,0.11,0.08,0.24,2.26,10.23,0.0,0.0,-,1345.991,2748.191,3038.986,848.339,1437.932,1516.129,1604.5,1070.869,2402.034,1067.808,302.286,2159.095,3179.809,5754.027,1899.554,1357.561,1374.347,68.85,6.6,0.0,0.0,0.0,0.006,0.014,0.414,4.01,2.078,0.041,0.073,0.488,7.435,0.231,0.043,3.11,0.075,0.005,0.006,0.033,0.077,0.007,0.028,0.0,0.4,0.259,0.161,0.013,2.5,식약처('16) 제4권,식품의약품안전처
D000017,구이류,어패류구이,100.0,296.54,44.3,26.0,16.2,11.6,0.4,0.0,0.0,0.3,0.0,0.0,1.0,164.09,-,37.38,345.83,544.71,124.75,1.44,0.03,0.15,145.28,438.72,2.16,-,3.46,0.0,0.0,0.11,0.47,12.64,0.0,0.0,-,1041.454,2033.042,2324.917,774.726,1045.632,1173.848,1185.996,708.331,1998.639,852.898,220.711,1817.946,2570.288,4045.03,2033.386,1168.116,1155.525,167.07,3.6,0.0,0.0,0.0,0.0,0.007,0.63,2.494,0.443,0.056,0.017,1.081,5.47,0.544,0.264,0.381,0.17,0.007,0.039,0.012,0.116,0.779,0.213,1.39,0.2,0.076,0.061,0.089,1.8,식약처('16) 제4권,식품의약품안전처
D000020,구이류,육류구이,300.0,989.15,137.0,60.1,71.6,26.2,13.9,5.8,1.8,3.5,0.0,2.8,7.5,85.27,-,59.1,412.97,632.12,1378.45,19.04,0.23,0.22,127.75,19.23,46.95,-,2.05,0.12,0.25,0.37,0.49,27.81,8.2,0.27,-,2445.178,4731.135,5143.159,1445.09,2517.259,2730.267,2722.34,1675.31,3964.469,1948.215,413.528,3432.605,5424.16,10162.054,3193.137,2497.441,2396.406,186.63,27.2,0.0,0.0,0.0,0.03,0.053,1.991,15.697,9.351,0.065,0.423,1.946,24.274,0.8,0.139,2.38,0.256,0.01,0.019,0.087,0.152,0.0,0.046,0.0,3.5,2.841,0.6,0.055,5.1,식약처('16) 제4권,식품의약품안전처
